iter	Passed	Remaining
603	84744	55560
604	84892	55425
605	85026	55280
606	85200	55162
607	85367	55039
608	85531	54914
609	85707	54796
610	85901	54690
611	86071	54568
612	86217	54430
613	86398	54315
614	86577	54198
615	86701	54047
616	86829	53899
617	86958	53751
618	87120	53623
619	87257	53480
620	87386	53332
621	87508	53180
622	87630	53028
623	87766	52884
624	87911	52747
625	88045	52602
626	88207	52474
627	88335	52325
628	88478	52186
629	88594	52031
630	88752	51901
631	88893	51760
632	89049	51629
633	89166	51474
634	89305	51332
635	89423	51179
636	89554	51033
637	89678	50883
638	89808	50737
639	89931	50586
640	90055	50436
641	90191	50293
642	90333	50154
643	90462	50007
644	90632	49882
645	90777	49744
646	90925	49608
647	91120	49497
648	91248	49350
649	91362	49195
650	91494	49049
651	91623	48903
652	91764	48763
653	91884	48611
654	92007	48461
655	92140	48317
656	92280	48176
657	92400	48025
658	92530	47880
659	92646	47726
660	92776	47581
661	92890	47427
662	93019	47281
663	93158	47140
664	93286	46994
665	93416	46848
666	93535	46697
667	93694	46566
668	93862	46440
669	94018	46307
670	94165	46170
671	94292	46023
672	94431	45882
673	94561	45737
674	94698	45595
675	94869	45470
676	95076	45361
677	95224	45224
678	95359	45081
679	95529	44954
680	95701	44829
681	95865	44699
682	96066	44587
683	96210	44448
684	96349	44306
685	96476	44159
686	96614	44018
687	96737	43869
688	96885	43731
689	97023	43590
690	97163	43449
691	97287	43301
692	97412	43153
693	97557	43015
694	97696	42873
695	97819	42725
696	97982	42594
697	98225	42498
698	98373	42360
699	98605	42259
700	98731	42112
701	98862	41967
702	98984	41818
703	99108	41670
704	99219	41517
705	99346	41371
706	99464	41220
707	99660	41103
708	99842	40978
709	99973	40834
710	100088	40683
711	100228	40541
712	100357	40396
713	100490	40252
714	100610	40103
715	100738	39957
716	100869	39813
717	101005	39670
718	101131	39524
719	101260	39378
720	101370	39226
721	101495	39080
722	101625	38935
723	101752	38789
724	101870	38640
725	101995	38494
726	102123	38348
727	102255	38205
728	102389	38062
729	102530	37922
730	102651	37774
731	102782	37630
732	102904	37483
733	103036	37340
734	103155	37192
735	103287	37048
736	103410	36902
737	103540	36758
738	103675	36616
739	103809	36473
740	103929	36326
741	104055	36180
742	104174	36033
743	104310	35891
744	104436	35746
745	104559	35600
746	104680	35453
747	104803	35308
748	104942	35167
749	105062	35020
750	105197	34878
751	105324	34734
752	105434	34584
753	105557	34439
754	105674	34291
755	105802	34147
756	105929	34003
757	106059	33860
758	106183	33715
759	106320	33574
760	106444	33430
761	106565	33284
762	106686	33138
763	106824	32998
764	106953	32854
765	107085	32712
766	107201	32565
767	107316	32418
768	107452	32277
769	107598	32139
770	107719	31994
771	107838	31848
772	107968	31706
773	108085	31559
774	108203	31414
775	108333	31271
776	108454	31126
777	108579	30982
778	108710	30840
779	108853	30702
780	108983	30559
781	109102	30414
782	109223	30270
783	109347	30126
784	109471	29982
785	109597	29839
786	109724	29696
787	109859	29556
788	109979	29411
789	110108	29269
790	110231	29125
791	110345	28979
792	110459	28833
793	110602	28695
794	110724	28551
795	110863	28412
796	110984	28268
797	111126	28129
798	111248	27986
799	111379	27844
800	111515	27704
801	111652	27565
802	111766	27419
803	111902	27279
804	112020	27135
805	112157	26995
806	112288	26854
807	112412	26711
808	112533	26568
809	112662	26426
810	112773	26281
811	112898	26138
812	113029	25998
813	113162	25857
814	113295	25717
815	113439	25579
816	113570	25438
817	113699	25297
818	113820	25154
819	113949	25013
820	114081	24872
821	114208	24731
822	114340	24590
823	114474	24450
824	114581	24305
825	114704	24162
826	114833	24021
827	114964	23881
828	115080	23737
829	115214	23598
830	115335	23455
831	115465	23315
832	115599	23175
833	115728	23034
834	115848	22892
835	115984	22752
836	116103	22610
837	116243	22471
838	116360	22329
839	116488	22188
840	116614	22047
841	116743	21906
842	116880	21767
843	117016	21628
844	117142	21487
845	117272	21347
846	117392	21205
847	117524	21065
848	117646	20924
849	117782	20785
850	117911	20644
851	118047	20505
852	118173	20365
853	118301	20224
854	118422	20083
855	118551	19943
856	118676	19802
857	118801	19661
858	118938	19523
859	119073	19384
860	119199	19243
861	119340	19105
862	119459	18963
863	119581	18822
864	119716	18684
865	119842	18543
866	119966	18403
867	120104	18264
868	120229	18124
869	120367	17985
870	120489	17845
871	120624	17706
872	120752	17566
873	120880	17426
874	121011	17287
875	121143	17148
876	121253	17005
877	121393	16867
878	121506	16726
879	121634	16586
880	121747	16444
881	121876	16305
882	122006	16166
883	122135	16026
884	122263	15887
885	122400	15749
886	122526	15609
887	122646	15468
888	122771	15329
889	122905	15190
890	123033	15051
891	123166	14912
892	123304	14774
893	123447	14637
894	123567	14496
895	123686	14356
896	123804	14216
897	123935	14077
898	124056	13937
899	124194	13799
900	124323	13660
901	124453	13521
902	124584	13382
903	124720	13244
904	124829	13103
905	124968	12965
906	125095	12826
907	125223	12687
908	125344	12548
909	125471	12409
910	125598	12270
911	125732	12132
912	125859	11993
913	125991	11854
914	126118	11715
915	126243	11576
916	126368	11437
917	126499	11299
918	126610	11159
919	126738	11020
920	126870	10882
921	127003	10744
922	127190	10610
923	127385	10477
924	127531	10340
925	127802	10213
926	127941	10075
927	128094	9938
928	128224	9799
929	128359	9661
930	128495	9523
931	128631	9385
932	128760	9246
933	128912	9109
934	129047	8971
935	129204	8834
936	129331	8695
937	129470	8557
938	129711	8426
939	129893	8291
940	130038	8153
941	130152	8013
942	130285	7875
943	130413	7736
944	130548	7598
945	130681	7459
946	130838	7322
947	131071	7189
948	131227	7052
949	131428	6917
950	131541	6777
951	131756	6643
952	131886	6504
953	132015	6365
954	132160	6227
955	132381	6092
956	132504	5953
957	132669	5816
958	132879	5680
959	133013	5542
960	133205	5405
961	133403	5269
962	133549	5131
963	133683	4992
964	133883	4855
965	134078	4719
966	134219	4580
967	134456	4444
968	134585	4305
969	134755	4167
970	134894	4028
971	135036	3889
972	135267	3753
973	135396	3614
974	135550	3475
975	135748	3338
976	135888	3199
977	136013	3059
978	136207	2921
979	136334	2782
980	136496	2643
981	136712	2505
982	136852	2366
983	137037	2228
984	137233	2089
985	137444	1951
986	137589	1812
987	137732	1672
988	137924	1534
989	138078	1394
990	138267	1255
991	138417	1116
992	138605	977
993	138780	837
994	138944	698
995	139102	558
996	139276	419
997	139435	279
998	139644	139
999	139778	0
